"","network","word","n"
"1","ReKa Core","individuals",29
"2","ReKa Core","support",27
"3","Google Palm","individuals",26
"4","Solar Mini","autism",26
"5","Solar Mini","spectrum",24
"6","OMS","autism",23
"7","Google Palm","right",22
"8","Solar Mini","individuals",21
"9","Claude","support",20
"10","Solar Mini","disorders",20
"11","ScholarGPT","individuals",18
"12","ChatGPT Vision","support",17
"13","Google Palm","factors",17
"14","ReKa Core","right",16
"15","ReKa Core","social",16
"16","ScholarGPT","support",16
"17","Bing AI (Copilot)","autism",15
"18","Bing AI (Copilot)","disorders",15
"19","Claude","autism",15
"20","Gemini","people",15
"21","OMS","people",15
"22","ReKa Core","disorders",15
"23","OMS","health",14
"24","ReKa Core","skills",14
"25","Bing AI (Copilot)","individuals",13
"26","Gemini","factors",13
"27","ReKa Core","factors",13
"28","ReKa Core","genetic",13
"29","Bing AI (Copilot)","spectrum",12
"30","ChatGPT Vision","disorders",12
"31","OMS","care",12
"32","ReKa Core","autism",12
"33","ReKa Core","rights",12
"34","ReKa Core","spectrum",12
"35","ScholarGPT","disorders",12
"36","ScholarGPT","early",12
"37","ChatGPT 4.0","autism",11
"38","ChatGPT 4.0","disorders",11
"39","Claude","conditions",11
"40","Claude","disorders",11
"41","Claude","rights",11
"42","Claude","social",11
"43","Gemini","disorder",11
"44","Gemini","right",11
"45","Google Palm","support",11
"46","Llama3","disorders",11
"47","ReKa Core","communication",11
"48","ReKa Core","including",11
"49","ReKa Core","needs",11
"50","ReKa Core","services",11
"51","ScholarGPT","autism",11
"52","Bing AI (Copilot)","social",10
"53","Bing AI (Copilot)","support",10
"54","ChatGPT 4.0","support",10
"55","ChatGPT Vision","right",10
"56","Claude","spectrum",10
"57","Gemini","conditions",10
"58","Gemini","disorders",10
"59","Gemini","skills",10
"60","Gemini","social",10
"61","Google Palm","disorders",10
"62","Google Palm","early",10
"63","Google Palm","skills",10
"64","Google Palm","therapy",10
"65","ScholarGPT","communication",10
"66","ScholarGPT","spectrum",10
"67","ChatGPT 4.0","individuals",9
"68","ChatGPT 4.0","spectrum",9
